LIGHT (lux),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
6.0,28413,2020-09-30 12:03:19:380
6.0,28463,2020-09-30 12:03:19:430
0.0,28514,2020-09-30 12:03:19:481
0.0,28563,2020-09-30 12:03:19:530
0.0,28613,2020-09-30 12:03:19:580
4.0,28665,2020-09-30 12:03:19:632
6.0,28713,2020-09-30 12:03:19:680
6.0,28764,2020-09-30 12:03:19:731
6.0,28813,2020-09-30 12:03:19:780
6.0,28863,2020-09-30 12:03:19:830
6.0,28913,2020-09-30 12:03:19:880
6.0,28963,2020-09-30 12:03:19:930
6.0,29014,2020-09-30 12:03:19:981
0.0,29064,2020-09-30 12:03:20:031
0.0,29113,2020-09-30 12:03:20:080
6.0,29164,2020-09-30 12:03:20:131
6.0,29214,2020-09-30 12:03:20:181
6.0,29264,2020-09-30 12:03:20:231
6.0,29314,2020-09-30 12:03:20:281
6.0,29363,2020-09-30 12:03:20:330
6.0,29414,2020-09-30 12:03:20:381
6.0,29463,2020-09-30 12:03:20:430
0.0,29514,2020-09-30 12:03:20:481
0.0,29572,2020-09-30 12:03:20:539
0.0,29613,2020-09-30 12:03:20:580
0.0,29663,2020-09-30 12:03:20:630
4.0,29714,2020-09-30 12:03:20:681
6.0,29764,2020-09-30 12:03:20:731
6.0,29814,2020-09-30 12:03:20:781
6.0,29864,2020-09-30 12:03:20:831
6.0,29914,2020-09-30 12:03:20:881
6.0,29963,2020-09-30 12:03:20:930
0.0,30014,2020-09-30 12:03:20:981
0.0,30063,2020-09-30 12:03:21:030
0.0,30114,2020-09-30 12:03:21:081
3.0,30164,2020-09-30 12:03:21:131
6.0,30214,2020-09-30 12:03:21:181
6.0,30263,2020-09-30 12:03:21:230
6.0,30314,2020-09-30 12:03:21:281
6.0,30364,2020-09-30 12:03:21:331
6.0,30414,2020-09-30 12:03:21:381
6.0,30464,2020-09-30 12:03:21:431
4.0,30514,2020-09-30 12:03:21:481
0.0,30564,2020-09-30 12:03:21:531
0.0,30614,2020-09-30 12:03:21:581
0.0,30664,2020-09-30 12:03:21:631
3.0,30714,2020-09-30 12:03:21:681
6.0,30764,2020-09-30 12:03:21:731
6.0,30814,2020-09-30 12:03:21:781
6.0,30864,2020-09-30 12:03:21:831
6.0,30914,2020-09-30 12:03:21:881
6.0,30963,2020-09-30 12:03:21:930
0.0,31014,2020-09-30 12:03:21:981
0.0,31064,2020-09-30 12:03:22:031
0.0,31114,2020-09-30 12:03:22:081
3.0,31163,2020-09-30 12:03:22:130
6.0,31214,2020-09-30 12:03:22:181
6.0,31264,2020-09-30 12:03:22:231
