LIGHT (lux),Time sin`ce start in ms,YYYY-MO-DD HH-MI-SS.SSSS
104.00,14528,2022-04-05 14:34:28.3300
104.00,14553,2022-04-05 14:34:28.3560
104.00,14588,2022-04-05 14:34:28.3900
104.00,14622,2022-04-05 14:34:28.4240
104.00,14651,2022-04-05 14:34:28.4540
104.00,14683,2022-04-05 14:34:28.4860
104.00,14718,2022-04-05 14:34:28.5210
104.00,14751,2022-04-05 14:34:28.5530
104.00,14784,2022-04-05 14:34:28.5860
104.00,14819,2022-04-05 14:34:28.6220
104.00,14857,2022-04-05 14:34:28.6590
104.00,14897,2022-04-05 14:34:28.7000
104.00,14933,2022-04-05 14:34:28.7360
104.00,14969,2022-04-05 14:34:28.7710
104.00,15007,2022-04-05 14:34:28.8100
104.00,15043,2022-04-05 14:34:28.8450
104.00,15079,2022-04-05 14:34:28.8810
104.00,15117,2022-04-05 14:34:28.9190
104.00,15151,2022-04-05 14:34:28.9540
104.00,15187,2022-04-05 14:34:28.9890
104.00,15222,2022-04-05 14:34:29.0250
104.00,15258,2022-04-05 14:34:29.0610
104.00,15294,2022-04-05 14:34:29.0970
104.00,15330,2022-04-05 14:34:29.1330
104.00,15365,2022-04-05 14:34:29.1670
104.00,15400,2022-04-05 14:34:29.2030
104.00,15439,2022-04-05 14:34:29.2410
104.00,15474,2022-04-05 14:34:29.2760
104.00,15509,2022-04-05 14:34:29.3110
104.00,15546,2022-04-05 14:34:29.3490
104.00,15586,2022-04-05 14:34:29.3880
83.00,15611,2022-04-05 14:34:29.4130
83.00,15639,2022-04-05 14:34:29.4410
83.00,15666,2022-04-05 14:34:29.4690
83.00,15695,2022-04-05 14:34:29.4980
83.00,15720,2022-04-05 14:34:29.5220
83.00,15743,2022-04-05 14:34:29.5450
83.00,15768,2022-04-05 14:34:29.5710
83.00,15792,2022-04-05 14:34:29.5940
83.00,15826,2022-04-05 14:34:29.6290
73.00,15864,2022-04-05 14:34:29.6670
73.00,15896,2022-04-05 14:34:29.6990
73.00,15921,2022-04-05 14:34:29.7230
73.00,15954,2022-04-05 14:34:29.7570
73.00,15990,2022-04-05 14:34:29.7930
73.00,16032,2022-04-05 14:34:29.8340
73.00,16069,2022-04-05 14:34:29.8710
73.00,16097,2022-04-05 14:34:29.9000
73.00,16133,2022-04-05 14:34:29.9350
73.00,16169,2022-04-05 14:34:29.9720
73.00,16202,2022-04-05 14:34:30.0040
73.00,16235,2022-04-05 14:34:30.0380
73.00,16271,2022-04-05 14:34:30.0740
73.00,16313,2022-04-05 14:34:30.1160
98.00,16349,2022-04-05 14:34:30.1520
98.00,16386,2022-04-05 14:34:30.1890
98.00,16425,2022-04-05 14:34:30.2270
98.00,16454,2022-04-05 14:34:30.2560
98.00,16489,2022-04-05 14:34:30.2910
98.00,16525,2022-04-05 14:34:30.3280
98.00,16564,2022-04-05 14:34:30.3670
98.00,16602,2022-04-05 14:34:30.4040
98.00,16635,2022-04-05 14:34:30.4370
98.00,16669,2022-04-05 14:34:30.4710
98.00,16701,2022-04-05 14:34:30.5040
98.00,16736,2022-04-05 14:34:30.5380
98.00,16788,2022-04-05 14:34:30.5910
98.00,16818,2022-04-05 14:34:30.6200
98.00,16850,2022-04-05 14:34:30.6530
98.00,16884,2022-04-05 14:34:30.6870
98.00,16920,2022-04-05 14:34:30.7220
98.00,16953,2022-04-05 14:34:30.7560
98.00,16988,2022-04-05 14:34:30.7910
98.00,17024,2022-04-05 14:34:30.8260
98.00,17059,2022-04-05 14:34:30.8610
98.00,17100,2022-04-05 14:34:30.9020
98.00,17137,2022-04-05 14:34:30.9390
98.00,17169,2022-04-05 14:34:30.9710
98.00,17202,2022-04-05 14:34:31.0050
98.00,17236,2022-04-05 14:34:31.0380
98.00,17269,2022-04-05 14:34:31.0720
98.00,17306,2022-04-05 14:34:31.1090
98.00,17342,2022-04-05 14:34:31.1440
98.00,17380,2022-04-05 14:34:31.1820
98.00,17419,2022-04-05 14:34:31.2210
98.00,17453,2022-04-05 14:34:31.2550
98.00,17486,2022-04-05 14:34:31.2890
98.00,17521,2022-04-05 14:34:31.3240
98.00,17558,2022-04-05 14:34:31.3600
98.00,17593,2022-04-05 14:34:31.3960
82.00,17630,2022-04-05 14:34:31.4330
82.00,17675,2022-04-05 14:34:31.4780
82.00,17709,2022-04-05 14:34:31.5110
82.00,17738,2022-04-05 14:34:31.5410
82.00,17770,2022-04-05 14:34:31.5730
82.00,17806,2022-04-05 14:34:31.6090
82.00,17840,2022-04-05 14:34:31.6430
73.00,17875,2022-04-05 14:34:31.6780
73.00,17910,2022-04-05 14:34:31.7130
73.00,17946,2022-04-05 14:34:31.7480
73.00,17990,2022-04-05 14:34:31.7920
73.00,18023,2022-04-05 14:34:31.8260
73.00,18058,2022-04-05 14:34:31.8600
73.00,18096,2022-04-05 14:34:31.8990
73.00,18135,2022-04-05 14:34:31.9370
73.00,18171,2022-04-05 14:34:31.9730
73.00,18208,2022-04-05 14:34:32.0100
73.00,18243,2022-04-05 14:34:32.0450
73.00,18274,2022-04-05 14:34:32.0770
73.00,18315,2022-04-05 14:34:32.1180
73.00,18352,2022-04-05 14:34:32.1540
102.00,18382,2022-04-05 14:34:32.1840
102.00,18410,2022-04-05 14:34:32.2120
102.00,18437,2022-04-05 14:34:32.2390
102.00,18464,2022-04-05 14:34:32.2660
102.00,18488,2022-04-05 14:34:32.2910
102.00,18520,2022-04-05 14:34:32.3220
102.00,18553,2022-04-05 14:34:32.3550
102.00,18584,2022-04-05 14:34:32.3870
103.00,18621,2022-04-05 14:34:32.4240
103.00,18661,2022-04-05 14:34:32.4640
103.00,18698,2022-04-05 14:34:32.5000
103.00,18733,2022-04-05 14:34:32.5360
103.00,18766,2022-04-05 14:34:32.5680
103.00,18799,2022-04-05 14:34:32.6020
103.00,18829,2022-04-05 14:34:32.6310
104.00,18869,2022-04-05 14:34:32.6720
104.00,18902,2022-04-05 14:34:32.7050
104.00,18937,2022-04-05 14:34:32.7390
104.00,18971,2022-04-05 14:34:32.7730
104.00,19006,2022-04-05 14:34:32.8090
104.00,19042,2022-04-05 14:34:32.8440
104.00,19076,2022-04-05 14:34:32.8790
103.00,19111,2022-04-05 14:34:32.9130
103.00,19145,2022-04-05 14:34:32.9470
103.00,19180,2022-04-05 14:34:32.9830
103.00,19217,2022-04-05 14:34:33.0190
103.00,19258,2022-04-05 14:34:33.0610
103.00,19291,2022-04-05 14:34:33.0940
103.00,19327,2022-04-05 14:34:33.1300
103.00,19364,2022-04-05 14:34:33.1670
103.00,19400,2022-04-05 14:34:33.2030
103.00,19439,2022-04-05 14:34:33.2420
103.00,19478,2022-04-05 14:34:33.2810
103.00,19515,2022-04-05 14:34:33.3180
103.00,19558,2022-04-05 14:34:33.3600
103.00,19585,2022-04-05 14:34:33.3880
86.00,19621,2022-04-05 14:34:33.4230
86.00,19651,2022-04-05 14:34:33.4530
86.00,19679,2022-04-05 14:34:33.4810
86.00,19707,2022-04-05 14:34:33.5100
86.00,19736,2022-04-05 14:34:33.5380
86.00,19763,2022-04-05 14:34:33.5660
86.00,19793,2022-04-05 14:34:33.5960
86.00,19824,2022-04-05 14:34:33.6260
86.00,19851,2022-04-05 14:34:33.6540
72.00,19878,2022-04-05 14:34:33.6810
72.00,19912,2022-04-05 14:34:33.7150
72.00,19951,2022-04-05 14:34:33.7540
72.00,19985,2022-04-05 14:34:33.7880
72.00,20019,2022-04-05 14:34:33.8210
72.00,20051,2022-04-05 14:34:33.8540
72.00,20092,2022-04-05 14:34:33.8950
72.00,20130,2022-04-05 14:34:33.9320
72.00,20169,2022-04-05 14:34:33.9710
72.00,20205,2022-04-05 14:34:34.0070
72.00,20238,2022-04-05 14:34:34.0400
